PF;CFF;NOMENCLATURA;UN;PRICE UNIT(U$)
HL22-6-10;73197;PIN-RIVET;EA;8,8
16102-052;74025;BUS,CONDUCTOR;EA;355,35
4053;98429;JEWEL ASSEMBLY;EA;372,72
MS27467T15F15P;96906;CONNECTOR PLUG;EA;234,21
HL77-6;L4528;COLLAR,PIN-RIV;EA;10,82
MS3106E20-27S;96906;CONNECTOR,PLUG,ELECTRICAL;EA;173,73
MS3126F18-32S;96906;CONNECTOR,PLUG,ELECTRICAL;EA;340,11
AS29561-248;81343;PACKING;EA;5,69
MS51960-67;96906;SCREW;EA;48,23
AN6287-1;88044;VALVE,PNEUMATIC TANK;EA;480,66
M39018/04-2130M;81349;CAPACITOR;EA;334,19
MS21924D8;96906;ADAPTER,STRAIGHT,TUBE TO BOSS;EA;85,76
MS3126F12-10S;96906;CONNECTOR,PLUG,ELECTRICAL;EA;185,57
MS20470AD3-5;80205;RIVET;EA;0,35
HL22-5-4;56878;PIN-RIVET;EA;9,34
XEM-RE-8RSA8;F0222;BEARING,PLAIN,ROD END;EA;1816,93
MS20392-2C31;96906;PIN,STRAIGHT,HEADED;EA;12,04
MS27039-1-07;80205;SCREW,MACHINE;EA;9,11
MS35338-42;96906;WASHER,LOCK;EA;7,33
AN4-30A;88044;BOLT,MACHINE;EA;105,53
AN832-6D;22995;ADAPTER,STRAIGHT,TUBE TO BOSS;EA;26,45
MS20392-2C11;96906;PIN,STRAIGHT,HEADED;EA;14,51
MS16997-37;96906;SCREW,CAP,SOCK;EA;3,17
MS3106A14S-6P;96906;CONNECTOR,PLUG,ELECTRICAL;EA;83,78
AN818-10D;88044;NUT,TUBE COUPLING;EA;14,06
MS51957-29;96906;SCREW,MACHINE;EA;24,64
MS51957-44;96906;SCREW,MACHINE;EA;20,83
MS21042L6;80205;NUT,SELF-LOCKING,EXTENDED WASHER,HEXAGON;EA;3,79
354A;F0704;CUP,TAPERED ROLLER BEARING;EA;70,2
M5086/1-20-9;81343;WIRE,ELECTRICAL, COLOR WHITE, OUTSIDE DIA 0.078 (2 MM) IN, 20 AWG, TEMP RATING 105.0 DEG CELSIUS;EA;0,71
SL521C;53469;MICROCIRCUITO LINEAR;EA;461,95
MCF264;K0481;CABLE ASSEMBLY,COAXIAL, W6;EA;18162,24
MCS264;K0481;CABLE ASSEMBLY,COAXIAL, W5;EA;6040,92
MS29513-214;96906;O'RING-FUEL RESISTANT,RUBBER;EA;1,48
24583;74025;GASKET;EA;95,94
PE26018-3-8-8-0;S4956;RIVET,SOLID;EA;6,3
MS21922-10;30974;SLEEVE,CLINCH,TUBEFITTING;EA;30,88
F2-39-2;26433;ARMATURE,MOTOR;EA;6102,83
AN960-616;U0625;WASHER,FLAT;EA;14,77
372550;F1688;GARNITURE ROTATIVE;EA;10109,36
14-2131;S5496;BRACKET,STRUCTURALCOMPONENT,AIRCRAFT;EA;1344,56
MS25083-2BB4;96906;LEAD,ELECTRICAL, ROUND, DIAMETER 0.081 IN, LENGTH 3.390 IN, TERMINAL MS25036-112 BOTH ENDS;EA;10,25
MIL-H-8794-6;81349;"HOSE,NONMETALLIC, ROUND, BLACK, SIZE 6, DIAMETER: INSIDE 0.313(5/""6)IN, OUTSIDE 0.672 IN, MIL-H-8794";EA;33,56
2525107-61D;7213;JET,AIRFLOW;EA;459,82
LM-412-54;76005;SEAL, U/O IN WALL OF FIRE USED IN UPPER POSITION;EA;123,82
02W1507-231;736;ELEMENT FILTER;EA;2068,43
MS9136-01;96906;GASKET;EA;19,82
70123-02;0VTX0;AP BRINDLE CABLE;EA;5922,47
HL22-77-6-8;73197;PIN-RIVET;EA;51,47
HL22-5-6;73197;PIN-RIVET;EA;10,42
4A-0002-10-05;TV765;PINO CÔNICO ROSCADO;EA;118,13
DS3225-4;96906;BEARING,ROLLER,TAPERED;EA;240,96
371-2492-000;95105;CONNECTOR,PLUG,ELECTRICAL;EA;304,02
3799089;12204;BUSHING;EA;6,49
